施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
202555,フォーエバーアオバ企画,,,,,,,https://maps.google.com/?cid=12034017981221426942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJHZMgt8uFil8R_tZdT5hrAac,
202962,アエルふくしま,,,,,,,https://maps.google.com/?cid=13574190277679461881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJsRZBCMeIil8R-TWlbiM2Ybw,
203193,宮城県仲人協会,,,,,,,https://maps.google.com/?cid=10870640292468590256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJeapI1CIoil8RsIajOcBF3JY,
201965,マリッジ,,,,,,,https://maps.google.com/?cid=8244141962754756178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJn6mugSIoil8RUo7jj28TaXI,
201966,マリッジメディア,,,,,,,https://maps.google.com/?cid=10158985351902486383&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ0fLm7ysoil8Rb1-LWlr3-4w,
202333,ハッピーブライダル長野,,,,,,,https://maps.google.com/?cid=16420486389811697864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ54sZCZEOHWARyNjcP19J4eM,
202483,フレーシュマリッジサポート伊那店,,,,,,,https://maps.google.com/?cid=5342972126250091394&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJN9kpBiIPHWARgkPzLdcMJko,
202600,ながの結婚支援センター,,,,,,,https://maps.google.com/?cid=7210124856168890306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ9fyG3Ua9HWARwj8pFluCD2Q,
202596,花岡結婚センター,,,,,,,https://maps.google.com/?cid=13214474837470049810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ9RaRMFxVHGAREna99Nk-Y7c,
201175,ブライダル輝～テルーレ～,,,,,,,https://maps.google.com/?cid=9553221761011149459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJC5YsAAJPH2ARk-qZlZPck4Q,
202541,世話やきばあちゃん!,,,,,,,https://maps.google.com/?cid=9948499558147161812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ-_OpwYxnH2AR1P59g6MrEIo,
200723,ラム－ルしあわせ高崎本店,,,,,,,https://maps.google.com/?cid=6458634058486390284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJRaXT-QeNHmARDB5S9nStoVk,
202879,群馬県仲人協会,,,,,,,https://maps.google.com/?cid=8446205810391700907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJV9uEFIOSHmARq9U8RG_zNnU,
202406,ハートステーション幸和,,,,,,,https://maps.google.com/?cid=6129191033237148637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJKYTCNZySHmAR3ROcWMVCD1U,
201606,石川県白山市の結婚相談所【仲人庵】,,,,,,,https://maps.google.com/?cid=6926003978717116410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJwU07H0dK-F8R-jdgUOwbHmA,
201761,ココカラ。縁結び,,,,,,,https://maps.google.com/?cid=2321180890735738350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJpznUZ6E0-F8R7n2607h9NiA,
203294,富山県仲人協会,,,,,,,https://maps.google.com/?cid=13471346547211223953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJGRLFrjOQ918RkcO1eE_W87o,
