施設ID,施設GID,施設FID
ChIJt5nsKfy--F8ReEZh7qn3bJ0,ChIJt5nsKfy--F8ReEZh7qn3bJ0,0x5ff8befc29ec99b7:0x9d6cf7a9ee614678
ChIJURvrAcEpC18RoX9KkakX5Qo,ChIJURvrAcEpC18RoX9KkakX5Qo,0x5f0b29c101eb1b51:0xae517a9914a7fa1
ChIJEbUXm5gpC18RG8LwbRe3SRE,ChIJEbUXm5gpC18RG8LwbRe3SRE,0x5f0b29989b17b511:0x1149b7176df0c21b
ChIJOzVRUsi_ImARjPQb11jdPVw,ChIJOzVRUsi_ImARjPQb11jdPVw,0x6022bfc85251353b:0x5c3ddd58d71bf48c
ChIJF1fILMF_GGAR9u98Manwk5k,ChIJF1fILMF_GGAR9u98Manwk5k,0x60187fc12cc85717:0x9993f0a9317ceff6
ChIJmYkSC56EImAR8A1nEGDjNbw,ChIJmYkSC56EImAR8A1nEGDjNbw,0x6022849e0b128999:0xbc35e36010670df0
ChIJo4Rei7ODImAR7Hl9jHHXymg,ChIJo4Rei7ODImAR7Hl9jHHXymg,0x602283b38b5e84a3:0x68cad7718c7d79ec
ChIJEQE0UDyLA2ARrojodba8IsU,ChIJEQE0UDyLA2ARrojodba8IsU,0x60038b3c50340111:0xc522bcb675e888ae
ChIJOxKB9SeTA2ARNzHv9O8lFu4,ChIJOxKB9SeTA2ARNzHv9O8lFu4,0x60039327f581123b:0xee1625eff4ef3137
ChIJ-aUtufWOA2AREzA4UK7WTtU,ChIJ-aUtufWOA2AREzA4UK7WTtU,0x60038ef5b92da5f9:0xd54ed6ae50383013
ChIJwyTJGBFSm18RwrRFuqJesvk,ChIJwyTJGBFSm18RwrRFuqJesvk,0x5f9b521118c924c3:0xf9b25ea2ba45b4c2
ChIJwfQV2wJKGmAREMZBpD6Osls,ChIJwfQV2wJKGmAREMZBpD6Osls,0x601a4a02db15f4c1:0x5bb28e3ea441c610
ChIJif88UgJZGGARKqSfbNIQo3Y,ChIJif88UgJZGGARKqSfbNIQo3Y,0x60185902523cff89:0x76a310d26c9fa42a
ChIJPayBonlbGGARsdNoEUfgX7c,ChIJPayBonlbGGARsdNoEUfgX7c,0x60185b79a281ac3d:0xb75fe0471168d3b1
ChIJT6cmTRBcGGARxFIG3U0FOlw,ChIJT6cmTRBcGGARxFIG3U0FOlw,0x60185c104d26a74f:0x5c3a054ddd0652c4
ChIJj0F7Hg5cGGAR1tV_pOTGznA,ChIJj0F7Hg5cGGAR1tV_pOTGznA,0x60185c0e1e7b418f:0x70cec6e4a47fd5d6
ChIJg2muU2m3ODURJ4m3kkrlJMU,ChIJg2muU2m3ODURJ4m3kkrlJMU,0x3538b76953ae6983:0xc524e54a92b78927
ChIJKQ_0x230QDURA9GQwn69CJ4,ChIJKQ_0x230QDURA9GQwn69CJ4,0x3540f46dc7f40f29:0x9e08bd7ec290d103
ChIJMd5sJ32fRjURIkKBVp6NElQ,ChIJMd5sJ32fRjURIkKBVp6NElQ,0x35469f7d276cde31:0x54128d9e56814222
ChIJL7j-SGHrUzURRD4oVeYsgig,ChIJL7j-SGHrUzURRD4oVeYsgig,0x3553eb6148feb82f:0x28822ce655283e44
ChIJB1La8Y_rUzURr28D8lz92mw,ChIJB1La8Y_rUzURr28D8lz92mw,0x3553eb8ff1da5207:0x6cdafd5cf2036faf
