レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
776,4957,ChIJUdnmQdygj18RpeR5TJTxk-E,5,竹村和枝,2025-10-19T01:30:35.131Z,スタッフが親切でした。,,Ci9DQUlRQUNvZENodHljRjlvT2t0RFltSXlTa3RQYkdnMU1YQjJZbFY0WmsxZlVYYxAB
777,4957,ChIJUdnmQdygj18RpeR5TJTxk-E,5,戸沢順久,2025-10-14T00:18:19.307Z,安置した部屋もきれいで、スタッフさんも親身になって対応していただきました。ありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT21SNFRFRmtNbGMxZGpCa1VYbG5SbU5qYmxWelRtYxAB
778,4957,ChIJUdnmQdygj18RpeR5TJTxk-E,5,戸澤美津子,2025-10-14T00:16:42.351Z,丁寧にやって頂きました。,,Ci9DQUlRQUNvZENodHljRjlvT21ZMlVrcHRSMFp4TVhwd1VFWjVUREJpTlVNMFZWRRAB
779,4957,ChIJUdnmQdygj18RpeR5TJTxk-E,5,竹内政城,2025-10-13T05:09:21.014Z,,,Ci9DQUlRQUNvZENodHljRjlvT2xseU0xcHhTbkpaYVVGTVpXWmlVbFJ2VVdKNVpFRRAB
780,7029,ChIJFRu10aASImARn4BWmLiZf_M,5,M,2026-02-06T22:55:08.763Z,"とても良い告別式が出来ました。
スタッフさんも親切だし、斎場の雰囲気も
素敵で選んでよかったです。",,Ci9DQUlRQUNvZENodHljRjlvT2taRWVHWkplakowUlhCdGQwSnhUVGN0YkdVNGNHYxAB
781,3422,ChIJvZT5i5sOhl8R9JDAxibBtFI,5,おまめ,2026-02-28T12:34:47.862Z,,,Ci9DQUlRQUNvZENodHljRjlvT21KRVVHUXphRk5hUVd0b1JUVkZORzQ0WW5SQ2RsRRAB
782,3422,ChIJvZT5i5sOhl8R9JDAxibBtFI,5,菊池錬宥,2026-02-28T09:22:04.934Z,,,Ci9DQUlRQUNvZENodHljRjlvT25CSlQwWnVVSGQzVUUxMGRGOWtaMjA1Y1dwT0xWRRAB
783,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,高嶋和弘,2026-02-13T09:44:06.871Z,親切にして頂き大変助かりました。,,Ci9DQUlRQUNvZENodHljRjlvT2pKNVgxcDFRMTl6U21KZk1IZHRiM1JOYkRWdmJWRRAB
784,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,かおたん,2026-01-26T05:41:25.006Z,"最初から最後までとても丁寧に対応していただきとてもよかったです。
とても助かりました。",,Ci9DQUlRQUNvZENodHljRjlvT21jMVFYTTJPVlpyZVRKSlZVZDZhamxpZFRoaFVVRRAB
785,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,土屋功,2026-01-18T02:39:32.633Z,この度は親身な施行いただき誠にありがとうござい。父、母と二度お世話になりました、ホールではなく菩提寺葬儀でしたが臨機応変に対応していただき滞りなく済ませる事ができました。,,Ci9DQUlRQUNvZENodHljRjlvT21OR1YwdFlibTlSVEdaaU1WVnFOamRKWmw5bldIYxAB
786,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,4,紀子,2025-12-29T07:47:42.541Z,お世話になりました。,,Ci9DQUlRQUNvZENodHljRjlvT200eFpHaFRYMVJPY0ZJMWJ6WTJiMk5XWTJsRlZsRRAB
787,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,k y,2025-12-29T07:47:36.300Z,"優しく丁寧に対応していただきました
ありがとうございます",,Ci9DQUlRQUNvZENodHljRjlvT20xUWVFRTVPRzVpYVUwdFJVTXdTa2h4WVVsYVpuYxAB
788,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,菊地ひかり,2025-12-29T07:47:26.966Z,"丁寧にご対応していただきました。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2t0R01IRXlhRlpUUW5CdGN6Vm5iWHA0VDNFek5sRRAB
789,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,4,後藤啓子,2025-12-03T01:15:01.959Z,丁寧に説明していただきました,,Ci9DQUlRQUNvZENodHljRjlvT25Sa2JrcDZVMDVRYzBsRlRFZHdia2hQYjJ0WFUyYxAB
790,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,升川正義,2025-11-30T02:16:20.381Z,親身になって最後まで対応してくれました。,,Ci9DQUlRQUNvZENodHljRjlvT2w4MmRITm9Za1puWnpKWFpHaHRSRXBXVEdaUGQxRRAB
791,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,角田素子,2025-09-30T09:57:06.275Z,"式場は桜田ホールを使用予定でしたが、空いて居ないとのことでこちらで通夜を行いました。自宅から近く、設備も整って居ました。風呂は近くに共同浴場があります。
駐車場が狭いのが難点ですが、
川端で出前できる店舗もあり、とても便利だと思います。",,Ci9DQUlRQUNvZENodHljRjlvT2prMFZHaDNMVTFLVTNWR2EzQmhiRU0yYkZOM2NrRRAB
792,4313,ChIJ_fiqKMmyi18RhsCoVTvQ1Hc,5,カトーユー,2025-09-11T07:37:07.242Z,親身になって、対応いただきました。ありがとうございます。,,Ci9DQUlRQUNvZENodHljRjlvT2t0SGNFbFJNa00zY2tOVU5XZFNhMGxQWm0weVduYxAB
793,3420,ChIJ6b37i5sOhl8RueE48oOkZXA,5,おまめ,2026-02-28T12:33:57.804Z,,,Ci9DQUlRQUNvZENodHljRjlvT2xGbVZDMDRObWhLWWpSMVVFVm1XbGhoYW5CS1UxRRAB
794,788,ChIJHeH-agLTdF8Rb0AygEVx6x4,5,星茶,2026-02-21T11:55:28.139Z,派手な葬式は望んでいなかったので、家族葬中心の対応がちょうど良かったです。必要最低限だけど心はこもっていて、遺品整理まで相談できたのも助かりました。静かに送れたのが何よりでした😌,,Ci9DQUlRQUNvZENodHljRjlvT21nMFJFWTRXbEJPTmxOa05sWlhSVXR4VFRkMFgyYxAB
795,788,ChIJHeH-agLTdF8Rb0AygEVx6x4,5,櫛田,2026-01-27T14:29:41.332Z,今回の葬式で利用。必要な手配をテキパキ進めてくれ、料金も明朗で納得。家族葬の進行も静かで整っており、無理のないペースで進めてもらえました。北広島市、札幌県で探しているなら候補に入れて良いと思います。,,Ci9DQUlRQUNvZENodHljRjlvT2pKU2QzaDRaMWRsVTJWUVVGQXhjVEZQVkVaTFRtYxAB
796,788,ChIJHeH-agLTdF8Rb0AygEVx6x4,5,麦飯,2026-01-13T06:57:56.890Z,"父の自宅葬で利用しました。
スタッフさんの対応が落ち着いていて、急な相談にもすぐ動いてくれたのが印象的でした🙏
出張葬儀の説明もわかりやすく、費用感も明確でありがたかったです。
家族だけで安心して過ごせました。",,Ci9DQUlRQUNvZENodHljRjlvT2t0TmMySkNja2RDTTJ0MlNuSkVVR2hRT1hWemJYYxAB
797,788,ChIJHeH-agLTdF8Rb0AygEVx6x4,5,ちり,2026-01-09T04:36:37.498Z,北広島市で家族葬をお願いしましたが、こちらの希望を本当に丁寧に聞いてくださり安心しました。費用も想像より安く、遺品整理まで一括で頼めて助かりましたし、落ち着いた雰囲気で最期を見送れました。,,Ci9DQUlRQUNvZENodHljRjlvT21wMWVrUjNOMnRoWmxrME1GWnBSME5tZDB4a2FYYxAB
798,552,ChIJ73xoIrWec18RJ6HsQ6m2tcA,1,男徳,2026-02-28T10:02:00.281Z,"安いのには安い理由があるんだなと思いました。
必要なものと不要な物を事前に分けて片付けをお願いしたところ、事前に詳しく説明をしたのに危うく必要なものを捨てられそうになりました。
その事を代表に伝えたら、事前に部屋から出してないあなたが悪い、うちのやり方に口を出さないでほしい、と誇張なしでハッキリそう言われて驚きました。
他の業者よりも圧倒的に安いですが、今後2度と使いたくないです。ほんと安いだけ。
そして、ここの代表者とは2度と人生で関わりを持ちたくないと思いました。",,Ci9DQUlRQUNvZENodHljRjlvT2xOdE5GQTRYM1pXWTFjd1pUTnRUM0pJVWsxR2JYYxAB
799,552,ChIJ73xoIrWec18RJ6HsQ6m2tcA,5,Key Default,2025-12-24T04:24:39.758Z,とても良い葬儀屋さんです,,Ci9DQUlRQUNvZENodHljRjlvT21SNGRWRTVOVkpzWVRWQ1QwVlNTeTEzUzI1WlVYYxAB
800,552,ChIJ73xoIrWec18RJ6HsQ6m2tcA,5,今俊明,2025-10-13T00:05:42.964Z,,,Ci9DQUlRQUNvZENodHljRjlvT21Wd09UVnljV1l5VGpCRVJ6ZEhNV05sYjJ0aFUwRRAB
801,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,粟崎慎,2026-02-22T01:34:50.937Z,非常に丁寧にご説明いただき、内容も分かりやすく、不明点についても一つひとつご対応いただけたため、終始安心してお任せすることができました。斉藤さんの誠実で的確なご対応に、心より感謝しております。,,Ci9DQUlRQUNvZENodHljRjlvT2s1T1NrWnFVMUpQUldkVGRtaFZRa05TYVZaNmJrRRAB
802,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,jun- kie,2026-02-20T04:25:27.382Z,,,Ci9DQUlRQUNvZENodHljRjlvT2xSSmFVSndaVE0wU0hORmQxbGFTMU5rVTNaUWVHYxAB
803,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,4,埜本頼子,2026-02-12T00:24:18.030Z,,,Ci9DQUlRQUNvZENodHljRjlvT25KU2RUSm9OMHhuY21SVlltaHNiRmw0WWxsc2MwRRAB
804,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,小副川志郎,2026-02-07T00:00:39.767Z,担当の岡崎さんに細部にわたり良くしていただきました。,,Ci9DQUlRQUNvZENodHljRjlvT2xSd1FXVklka1l5VEdjeFVsVk1jMWg0YWxoV2IwRRAB
805,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,3,伊藤せい子,2026-02-06T23:58:28.024Z,,,Ci9DQUlRQUNvZENodHljRjlvT2taUFZFVTVSVTVxTUVwVFlYSkVlVWxKY0dOSVUzYxAB
806,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,Hina Itou,2026-02-06T11:35:05.143Z,担当の大島さんがとても親切でした,,Ci9DQUlRQUNvZENodHljRjlvT25ad1NsbEtkbXhLWVZod2RGOUJYMTk2YVdGRmNWRRAB
807,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,村山弘樹,2026-02-03T00:09:59.844Z,"大変素晴らしいお持てなしでした。
ありがとうございました。
前口家",,Ci9DQUlRQUNvZENodHljRjlvT2xCdk9GOVhWR3hFVEdOaVNIUkVhMnBtWlRVd1VYYxAB
808,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,K,2026-01-30T06:04:39.631Z,大変お世話になりありがとうございました✨️,,Ci9DQUlRQUNvZENodHljRjlvT2tZeGJ6TlFhMUIzTW1kVVdHdHdVWFJSVmxscVFuYxAB
809,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,あっぷらす,2026-01-30T06:04:08.818Z,,,Ci9DQUlRQUNvZENodHljRjlvT25RM2NFbHpNRU5PVXpOSFJFOVBZbGhMTjJOcGExRRAB
810,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,F,2026-01-23T23:59:42.651Z,色々とありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT2tKaU1XcDVOVzlEU3pCNVJsZG5Xa04wZW5wWE5rRRAB
811,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,しゅ,2026-01-14T04:17:25.227Z,,,Ci9DQUlRQUNvZENodHljRjlvT21OQ1IycG9SSFJFU0dwTGRrRm1UR3hzU2tscFNIYxAB
812,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,平井修,2026-01-14T03:40:00.933Z,とても丁寧にご対応いただき、ありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT2twR2NubG1aR3BXY0cwM0xXeDFUVU54WmpOSlJYYxAB
813,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,4,平井睦雄,2026-01-14T03:39:46.438Z,とても親切丁寧に対応して頂きました。ありがとうごさいます。,,Ci9DQUlRQUNvZENodHljRjlvT2s1SVZFOTVjM0k0U1dWc1lVUmlXSGN4Ymtkc2FVRRAB
814,707,ChIJ6TQZv7XYdF8RdIUpRibE_BE,5,小野幸代,2026-01-13T05:09:00.877Z,"食事がとても高評価で美味しかったです。
棺にかけた帯がメッセージを添えれてとても良かったです。ありがとうございます。
担当青木",,Ci9DQUlRQUNvZENodHljRjlvT2tsTGVYVXRUVGRtV25scFNWRkhVVGRpZVdOMloxRRAB
