施設ID,施設GID,施設FID
49990,ChIJr71OG5NvA2ARRHjH9pPD14I,0x60036f931b4ebdaf:0x82d7c393f6c77844
49968,ChIJm0zJUBRlA2ARJa9v0EvBT6k,0x6003651450c94c9b:0xa94fc14bd06faf25
49966,ChIJl_t0YYZvA2ARLwIYL4hl7kw,0x60036f866174fb97:0x4cee65882f18022f
50053,ChIJ50x09sdvA2ARCaMZtp4Hmmc,0x60036fc7f6744ce7:0x679a079eb619a309
74732,ChIJyzxAgfZvA2AR7iFl5wKSruc,0x60036ff681403ccb:0xe7ae9202e76521ee
49974,ChIJuY5BulxlA2AR4awJJ2nCV4Y,0x6003655cba418eb9:0x8657c2692709ace1
51297,ChIJI3ed_B5tA2ARYUj4-tlkkHc,0x60036d1efc9d7723:0x779064d9faf84861
51298,ChIJ0_MIUeltA2ARWkz8FmC_PRQ,0x60036de95108f3d3:0x143dbf6016fc4c5a
51301,ChIJ97BwHextA2ARBE3foakRjjo,0x60036dec1d70b0f7:0x3a8e11a9a1df4d04
82102,ChIJo96d041tA2ARPjcStngniVI,0x60036d8dd39ddea3:0x52892778b612373e
51303,ChIJtY8ZjktsA2ARQlLL9jhUSD0,0x60036c4b8e198fb5:0x3d485438f6cb5242
51305,ChIJ5dWsTPNxA2AR-vAijK4doUQ,0x600371f34cacd5e5:0x44a11dae8c22f0fa
51299,ChIJ7_nGT5xuA2ARdT3BaSg25G0,0x60036e9c4fc6f9ef:0x6de4362869c13d75
51327,ChIJlRAPuc9tA2ARE5iqFdSPM-M,0x60036dcfb90f1095:0xe3338fd415aa9813
51269,ChIJVcj7Zr5tA2ARHRLk1mrSD28,0x60036dbe66fbc855:0x6f0fd26ad6e4121d
51365,ChIJZRW2CzlyA2ARt_gW2d8dI3s,0x600372390bb61565:0x7b231ddfd916f8b7
82103,ChIJKf2yjehtA2ARTa6GAJartw0,0x60036de88db2fd29:0xdb7ab960086ae4d
51304,ChIJuyKoaAtyA2ARue6y6z7s7XU,0x6003720b68a822bb:0x75edec3eebb2eeb9
51358,ChIJBwbzIllyA2ARsDb4ISHnd0Q,0x6003725922f30607:0x4477e72121f836b0
51277,ChIJ18OmvQJyA2ARzQSWtaaGjr0,0x60037202bda6c3d7:0xbd8e86a6b59604cd
51290,ChIJ-0i--Q9sA2ARwryuxkanl7A,0x60036c0ff9be48fb:0xb097a746c6aebcc2
51380,ChIJ3VjLdRRzA2AR25Dbl_QlGno,0x6003731475cb58dd:0x7a1a25f497db90db
51294,ChIJOTYJSc9zA2ARO7Y_sMSGO6c,0x600373cf49093639:0xa73b86c4b03fb63b
51332,ChIJrTBx9kBsA2ARA3eigXS9j14,0x60036c40f67130ad:0x5e8fbd7481a27703
82104,ChIJG7dygNNtA2ARStC3dc1awrg,0x60036dd38072b71b:0xb8c25acd75b7d04a
51322,ChIJmWdG629yA2ARCW9w-846tjk,0x6003726feb466799:0x39b63acefb706f09
80495,ChIJ6frUijZiA2ARcp6YzC8Nwac,0x600362368ad4fae9:0xa7c10d2fcc989e72
50344,ChIJQ3XOuQZxA2AR1w08GoWvcSM,0x60037106b9ce7543:0x2371af851a3c0dd7
50345,ChIJNyhHNwdxA2ARDVhrjAxTzLs,0x6003710737472837:0xbbcc530c8c6b580d
50334,ChIJgR_ISVRwA2ARz6Untu1uS9Q,0x6003705449c81f81:0xd44b6eedb627a5cf
50347,ChIJPZODo1RwA2ARMVo4kUOC1uI,0x60037054a383933d:0xe2d6824391385a31
82105,ChIJ5ekgPR1xA2ARsDuydaiObHY,0x6003711d3d20e9e5:0x766c8ea875b23bb0
49660,ChIJ80gSpAhxA2ARD5j0tl3QUgU,0x60037108a41248f3:0x552d05db6f4980f
49671,ChIJV8rrGgZxA2ARKEWV8uCmiNY,0x600371061aebca57:0xd688a6e0f2954528
49672,ChIJAVcK3QVxA2ARqkmMcDpxjMM,0x60037105dd0a5701:0xc38c713a708c49aa
50336,ChIJrYKeghBxA2ARGXrdWeDFGjg,0x60037110829e82ad:0x381ac5e059dd7a19
50331,ChIJq2trSh1xA2ARTaHJY90AIcU,0x6003711d4a6b6bab:0xc52100dd63c9a14d
50342,ChIJn3g8oAZxA2AR8IjLU2MBGgQ,0x60037106a03c789f:0x41a016353cb88f0
50343,ChIJyxIfmQNxA2ARHMfSx6QhoVo,0x60037103991f12cb:0x5aa121a4c7d2c71c
49878,ChIJyX-R9_hwA2ARKbmVjaM5Uu8,0x600370f8f7917fc9:0xef5239a38d95b929
49394,ChIJpQsuGKdxA2AR0l6b5ZURau8,0x600371a7182e0ba5:0xef6a1195e59b5ed2
49395,ChIJ2YsPt8NxA2ARQkWPr8zHq9Q,0x600371c3b70f8bd9:0xd4abc7ccaf8f4542
50335,ChIJ1cl_oEVwA2ARy9F9sI6Xm30,0x60037045a07fc9d5:0x7d9b978eb07dd1cb
49669,ChIJzwc8dAtxA2AR0tWHZM2XDSw,0x6003710b743c07cf:0x2c0d97cd6487d5d2
49871,ChIJ5SFpVQFxA2ARRJuDh6iCzok,0x60037101556921e5:0x89ce82a887839b44
50340,ChIJPazzVNJxA2ARH6SFZ6SOoFU,0x600371d254f3ac3d:0x55a08ea46785a41f
50354,ChIJM71oIU9wA2ARp_Dayl6553o,0x6003704f2168bd33:0x7ae7b95ecadaf0a7
82106,ChIJQbOseqbeBGAR5zoxgRWIyig,0x6004dea67aacb341:0x28ca881581313ae7
82107,ChIJ3dBxv6beBGARJCvOzNDK9tE,0x6004dea6bf71d0dd:0xd1f6cad0ccce2b24
82108,ChIJz7sTgahoA2ARW8XuJRidYFw,0x600368a88113bbcf:0x5c609d1825eec55b
51552,ChIJ32fZF6ppA2ARo2c-1KVnZUk,0x600369aa17d967df:0x496567a5d43e67a3
51553,ChIJtWygLY9nA2ARDhnaqtIK1Lw,0x6003678f2da06cb5:0xbcd40ad2aada190e
51587,ChIJXYjGwadoA2ARESYjjSIGF-A,0x600368a7c1c6885d:0xe01706228d232611
50914,ChIJD9hys7NoA2ARTLw3PhjUDXs,0x600368b3b372d80f:0x7b0dd4183e37bc4c
51554,ChIJXd58JthpA2ARUqJKZJv-4aQ,0x600369d8267cde5d:0xa4e1fe9b644aa252
51556,ChIJe2FVJ5ZoA2ARwNWyA75Xsjs,0x600368962755617b:0x3bb257be03b2d5c0
50913,ChIJBynszDxpA2ARgsgf8G50cBQ,0x6003693cccec2907:0x1470746ef01fc882
51576,ChIJ_T7YlB1mA2ARd-YMA_Llr4o,0x6003661d94d83efd:0x8aafe5f2030ce677
51561,ChIJI2Gaq7ZoA2ARY3NKLKtqxhA,0x600368b6ab9a6123:0x10c66aab2c4a7363
50916,ChIJ1VM-4rJoA2ARwyQoDqGgB5g,0x600368b2e23e53d5:0x9807a0a10e2824c3
51560,ChIJx59yA7FoA2ARTouGl-O47Jo,0x600368b103729fc7:0x9aecb8e397868b4e
51562,ChIJpw1PEZloA2ARa_LLtYQvhkE,0x60036899114f0da7:0x41862f84b5cbf26b
51568,ChIJ_eAAhZtpA2ARoYcMKNKIdEM,0x6003699b8500e0fd:0x437488d2280c87a1
51558,ChIJkY8P_YRoA2ARAq5TRlNZjmg,0x60036884fd0f8f91:0x688e59534653ae02
51555,ChIJI54xiH9oA2ARxVIYvizIbsA,0x6003687f88319e23:0xc06ec82cbe1852c5
51551,ChIJNQPW9H5oA2AR7ux0qbpxVMI,0x6003687ef4d60335:0xc25471baa974ecee
51564,ChIJ-QoCBydmA2ARCnJ4FCL8CKI,0x6003662707020af9:0xa208fc221478720a
51565,ChIJKwgZZeFoA2AR0wz3ntqAiXA,0x600368e16519082b:0x708980da9ef70cd3
51573,ChIJLZWeRMFoA2ARSb4P8AQAxZE,0x600368c1449e952d:0x91c50004f00fbe49
82109,ChIJ____DzCEBGARN15tYqyWiDs,0x600484300fffffff:0x3b8896ac626d5e37
49312,ChIJawT_SACFBGARpDsT5D634yg,0x6004850048ff046b:0x28e3b73ee4133ba4
82110,ChIJ_XMMsSWEBGARQVncNXljZG8,0x60048425b10c73fd:0x6f64637935dc5941
49304,ChIJe5nwMgCFBGARHRVHctDHnVo,0x6004850032f0997b:0x5a9dc7d07247151d
49295,ChIJbz8nyMaFBGARtzxHiq64iHs,0x600485c6c8273f6f:0x7b88b8ae8a473cb7
49296,ChIJrSiFsLaFBGAR-VMLFxbQB3M,0x600485b6b08528ad:0x7307d016170b53f9
49284,ChIJS0GxDHaFBGAR-HNBpPakZx8,0x600485760cb1414b:0x1f67a4f6a44173f8
49287,ChIJjYWOKkGEBGARstbQqWRxz-0,0x600484412a8e858d:0xedcf7164a9d0d6b2
49300,ChIJmUkh9kaFBGARXGNlGsCvhsY,0x60048546f6214999:0xc686afc01a65635c
82111,ChIJJ0u-EACFBGARzWG25iOE7wU,0x6004850010be4b27:0x5ef8423e6b661cd
49303,ChIJI64DVLGFBGAR8yEjKzkHwM4,0x600485b15403ae23:0xcec007392b2321f3
49320,ChIJcaAFYbGFBGARlIowkiDjW_Q,0x600485b16105a071:0xf45be32092308a94
49306,ChIJx7kYGPCFBGAR-7F0NNmb2wI,0x600485f01818b9c7:0x2db9bd93474b1fb
49298,ChIJF66eqD6FBGAREtcF2SkJdxQ,0x6004853ea89eae17:0x14770929d905d712
49302,ChIJpwtBZLOFBGARFEllSRLrpjQ,0x600485b364410ba7:0x34a6eb1249654914
49307,ChIJFYiZTLWFBGARtWVNZMBLKDc,0x600485b54c998815:0x37284bc0644d65b5
49317,ChIJsyqygumFBGARqCQXjXaGKZA,0x600485e982b22ab3:0x902986768d1724a8
49311,ChIJmZf3fCuEBGARE5WDQyJrmIo,0x6004842b7cf79799:0x8a986b2243839513
82112,ChIJqwOmoUyFBGARYM3rt4u8n3o,0x6004854ca1a603ab:0x7a9fbc8bb7ebcd60
49308,ChIJz9EK98qFBGARjVd7uU0x5dY,0x600485caf70ad1cf:0xd6e5314db97b578d
76841,ChIJU6cqYWG-BGARttGPjK3uqGI,0x6004be61612aa753:0x62a8eead8c8fd1b6
50067,ChIJ0XVlESplA2ARYQ2gOSN6QtI,0x6003652a116575d1:0xd2427a2339a00d61
50075,ChIJgeGt4ydlA2ARwPVz2B1Wi54,0x60036527e3ade181:0x9e8b561dd873f5c0
