統計項目,値
総取得データ件数（重複含む）,20
ユニーク施設数,20
重複施設数,0
既存施設数（再検出）,0
除外GID数,0
総リクエスト数,1
処理住所数,1

重複施設ランキング,
順位,GID,施設名,出現回数
